filepath,filehash,filesize
sanders/ten/PixysOS-v3.1.2-sanders-OFFICIAL-20200825-044634.zip,3d57b9a109b8b8e1c8425232491379d8,640033556
rosy/pie/PixysOS-v2.4-rosy-OFFICIAL-20190806-211903.zip,4e05858843d5bce638bd30da457985b1,582358332
violet/ten/PixysOS-v3.1.2-GAPPS-violet-OFFICIAL-20200806-192800.zip,8f8d3daf5c7534e4575954f137c8efc0,1358907453
x2/ten/PixysOS-v3.1.2-x2-OFFICIAL-20200806-032123.zip,91df85b269fc41178bb3097b0a632f17,900861066
x2/ten/PixysOS-v3.1.2-GAPPS-x2-OFFICIAL-20200806-022643.zip,489759502faa05038c278891c24b4fd4,1453760709
sanders/ten/PixysOS-v3.1.2-GAPPS-sanders-OFFICIAL-20200805-234031.zip,05f91f22d02d0a0ffb737fdb6afd7e07,1157877730
sakura/ten/PixysOS-v3.1.2-sakura-OFFICIAL-20200805-231413.zip,d41ba6a85a5c30cf9259297d2a34c164,694549625
sakura/ten/PixysOS-v3.1.2-GAPPS-sakura-OFFICIAL-20200805-224402.zip,ab86433b54d4d92bdf629b118aff00c1,1211260435
rosy/ten/PixysOS-v3.1.2-rosy-OFFICIAL-20200805-221700.zip,356930770e8275973e64b256c6af850d,623145226
rosy/ten/PixysOS-v3.1.2-GAPPS-rosy-OFFICIAL-20200805-212156.zip,d6db4fe14db526027892e9e2bb9afb6c,1140287634
beryllium/ten/PixysOS-v3.1.2-beryllium-OFFICIAL-20200805-150946.zip,1e28f945c371e936cd70743508593f0c,794902864
beryllium/ten/PixysOS-v3.1.2-GAPPS-beryllium-OFFICIAL-20200805-140947.zip,ff22a0c71d3c7f1764f64f8f6d5c75c0,1311548202
violet/ten/PixysOS-v3.1.1-violet-OFFICIAL-20200710-180129.zip,8bdac5afd54258e8e30c7e36a08abf8d,866876494
beryllium/ten/PixysOS-v3.1.1-beryllium-OFFICIAL-20200710-155036.zip,5bbcff9756fedbc730ad41f36ffada86,794581094
beryllium/ten/PixysOS-v3.1.1-GAPPS-beryllium-OFFICIAL-20200710-145034.zip,b60a6fcb1c116fee52b40397e86e8cd9,1312115412
x2/ten/PixysOS-v3.1.0-GAPPS-x2-OFFICIAL-20200606-095951.zip,baf1af5e2dc7be9983dfe2b5691bdd84,1107203897
ysl/ten/PixysOS-v3.0.3-ysl-OFFICIAL-20200211-170948.zip,803bc5bd1d1e787aaacaa253cb65e734,607673991
ysl/ten/PixysOS-v3.0.3-GAPPS-ysl-OFFICIAL-20200211-134306.zip,ed091c8307a7dac940efe415ab429199,903804883
sanders/ten/PixysOS-v3.02-GAPPS-sanders-OFFICIAL-20200206-155247.zip,b643656e0c4d8a0fbd5439b6da5b4de3,893399040
ysl/ten/PixysOS-v3.02-ysl-OFFICIAL-20200111-163534.zip,9502ae0b8cd70e84a630e1f2a6fcbe50,598773324
ysl/ten/PixysOS-v3.02-GAPPS-ysl-OFFICIAL-20200111-120400.zip,249046d87f8310c0c031721226f78794,897074338
whyred/pie/PixysOS-v2.4-whyred-OFFICIAL-20190830-165839.zip,d677aba68b48493c0088de409cdd4045,666883204
tissot/pie/PixysOS-v2.4-tissot-OFFICIAL-20190829-010542.zip,5cbe26813afac5df631fedba709b1169,559349302
beryllium/pie/PixysOS-v2.4-beryllium-OFFICIAL-20190828-162405.zip,869ad1bbce24673af122b648da821814,855835609
whyred/pie/PixysOS-v2.4-whyred-OFFICIAL-20190824-112502.zip,61dc2ddcb4364b2592025581b4f9d6ba,669636883
sanders/pie/PixysOS-v2.4-sanders-OFFICIAL-20190823-163343.zip,5a8c605c832b277155eadaad0072a797,578720319
santoni/pie/PixysOS-v2.4-santoni-OFFICIAL-20190823-144043.zip,18c6b50b145f9c88886fac77ca6e07f3,568676974
sanders/pie/PixysOS-v2.4-sanders-OFFICIAL-20190807-160459.zip,118381a5ada38aa911b631bd1b841864,578482986
sakura/pie/PixysOS-v2.4-sakura-OFFICIAL-20190807-033418.zip,83bfbaf2fc49078f170dfc3c3bb57107,633901741
tissot/pie/PixysOS-v2.4-tissot-OFFICIAL-20190807-005849.zip,4107b4f23f7d09b934df8313f9ccf0c0,558643356
santoni/pie/PixysOS-v2.4-santoni-OFFICIAL-20190807-141947.zip,67f9be0c1f03cdee9ad74ab9a1fb2e11,567610952
sakura/pie/PixysOS-v2.4-sakura-OFFICIAL-20190718-003210.zip,1a181fb4e9c8f1c2112de7b2c36ef434,633971354
rosy/pie/PixysOS-v2.4-rosy-OFFICIAL-20190718-102835.zip,3fef706888d0449cc1b8194ecb5d2050,582430749
X00TD/eleven/PixysOS-v4.0.0-X00TD-UNOFFICIAL-20200921-091120.zip,d03c10c94f40f7eb200a409afd81f9a7,679327601
X00TD/ten/PixysOS-v3.1.3-X00TD-OFFICIAL-20200916-042623.zip,ba240e2e2ea578b49adcddac553e4e46,709685313
X00TD/ten/PixysOS-v3.1.3-GAPPS-X00TD-OFFICIAL-20200916-033827.zip,1c7c2c34acd9b472ea862a5c18e6006f,1233867746
X00TD/ten/PixysOS-v3.1.2-X00TD-OFFICIAL-20200809-175737.zip,644136d676737d33e194154a0d3b9cee,662677797
